cni,qps,run,p50_ms,p90_ms,p99_ms,avg_ms,throughput_rps,error_percent
flannel,100,1,0.0005459586000688942,0.0009276612006889425,0.0015949295774647886,0.0005948806125672043,99.99455963402956,0.0000
flannel,100,2,0.0005682416437543614,0.0009409502349616189,0.0017405607476635501,0.000626457118951613,99.99453761358113,0.0000
flannel,100,3,0.0005265356770654784,0.0009206698938635585,0.0012824272662068973,0.0005764628360215053,99.9954425934617,0.0000
flannel,100,4,0.0005543778287004865,0.0009357355804725504,0.0015848881797938148,0.0005992464623655915,99.99480569320934,0.0000
flannel,100,5,0.0005622155835058663,0.0009315554625948931,0.0014920027594805202,0.0005930242137096774,99.99373228130845,0.0000
flannel,300,1,0.0005478566005254741,0.0009296996104409414,0.0016232203389830498,0.0005805787997108541,299.98432114530965,0.0000
flannel,300,2,0.0005320412803289925,0.0009272406047978067,0.0016232203389830498,0.0005774508147241993,299.98641241036535,0.0000
flannel,300,3,0.0005703328018486424,0.0009418296716348931,0.0016507190114285711,0.0006357238041592527,299.98033528152604,0.0000
flannel,300,4,0.0005443854019177448,0.0009382221205868762,0.001653672254925373,0.0006257341326734875,299.98051609867525,0.0000
flannel,300,5,0.000542116415679125,0.0009268199139471285,0.00158448598130841,0.0005705707889234875,299.9852900685065,0.0000
flannel,500,1,0.000538491238774251,0.0009278746307808323,0.0016172020725388613,0.0005906185093482905,499.96381625386607,0.0000
flannel,500,2,0.0005437910477111095,0.0009344248538562453,0.0016970264765784119,0.0006231347577457262,499.9724191229892,0.0000
flannel,500,3,0.000535152360544688,0.0009340955266468514,0.0017065877712031568,0.0006183059617387821,499.97892603516317,0.0000
flannel,500,4,0.0005416183732286746,0.0009390549482772993,0.0017530526315789486,0.0006231726146501069,499.9751272222809,0.0000
flannel,500,5,0.0005437325161900757,0.0009468035580740118,0.0017904113475177312,0.000654411304821047,499.96355410578514,0.0000
flannel,800,1,0.0005249512746870359,0.0009192507527265013,0.001448036951501155,0.0005491888065833334,799.9523529713015,0.0000
flannel,800,2,0.0005255103350763083,0.0009207811423712961,0.001496842105263157,0.0005627552712916667,799.9393858462759,0.0000
flannel,800,3,0.000528647995260864,0.0009175924035035757,0.0013500000000000038,0.0005557021677083335,799.9641138765062,0.0000
flannel,800,4,0.0005284008558100085,0.0009193301178965225,0.0014282296650717707,0.0005597674677500002,799.9449612001807,0.0000
flannel,800,5,0.0005283972005582811,0.0009171809596514972,0.00117419357746479,0.0005446550078333332,799.9509917757748,0.0000
