cni,qps,run,p50_ms,p90_ms,p99_ms,avg_ms,throughput_rps,error_percent
calico,100,1,0.0005523527275271074,0.0009407487283665617,0.0017499130434782601,0.0006048728776881719,99.99350713866976,0.0000
calico,100,2,0.0005530484772249475,0.0009422592253679048,0.0013671369411570248,0.0005974785678763442,99.99229317464251,0.0000
calico,100,3,0.000554993619733146,0.0009442188916432584,0.0017717460317460314,0.0006122286512096774,99.99446772543239,0.0000
calico,100,4,0.0005511751114158382,0.0009247982913952691,0.0012013258813793107,0.0005542475376344087,99.99530764962734,0.0000
calico,100,5,0.0005550139252912954,0.0009251826348183687,0.0013032681768421063,0.0005630621444892473,99.99332367828936,0.0000
calico,300,1,0.0005339064306192662,0.0009306982295183488,0.0017018604651162798,0.0005909599322731317,299.98061928704095,0.0000
calico,300,2,0.0005576181495129679,0.0009528389741110197,0.0018104051172707883,0.0006395385926379003,299.98193198014724,0.0000
calico,300,3,0.0005602809091974223,0.0009517615096426478,0.0018063436123348007,0.0006329621936165481,299.986412760645,0.0000
calico,300,4,0.0005349730091053949,0.0009247677145003414,0.001428342916878049,0.0005628563702179718,299.9771217203858,0.0000
calico,300,5,0.0005487674571330981,0.0009272640080154846,0.0015704347826086958,0.000565405497442171,299.9758440948711,0.0000
calico,500,1,0.0005271561251018746,0.000918550894784026,0.001406586345381526,0.0005405526413595085,499.9493931267697,0.0000
calico,500,2,0.0005387737971124621,0.0009340992293313071,0.001704112903225808,0.0006144428119658118,499.96747006524896,0.0000
calico,500,3,0.000547974062592306,0.0009502046293550882,0.00180832,0.0006357025544871793,499.9712764398441,0.0000
calico,500,4,0.0005428289453934472,0.0009457475102772333,0.0018163499245852175,0.0006240302731036324,499.96280047748365,0.0000
calico,500,5,0.0005562839971773341,0.0009539555027591561,0.001817799999999999,0.0006454020239049145,499.96228990361215,0.0000
calico,800,1,0.0005264906667936991,0.0009177870082571138,0.001375328083989502,0.0005347308905833335,799.9836263617935,0.0000
calico,800,2,0.0005274799669195111,0.0009141641641382218,0.0011128404669260728,0.0005220578147500002,799.9511815925613,0.0000
calico,800,3,0.0005343969999141925,0.0009296387366569418,0.0016574344023323599,0.0005639608410000001,799.9469676224411,0.0000
calico,800,4,0.0005229265363809524,0.0009168629935238096,0.001359249329758714,0.0005291972880000001,799.944696196736,0.0000
calico,800,5,0.0005334075850671638,0.0009195530319081318,0.0014155844155844173,0.000538120722625,799.9535576296071,0.0000


